"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","207463.2","","","","1"
"2010","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","213022.3","","","","1"
"2011","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","219107.4","","","","1"
"2012","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","224739.9","","","","1"
"2013","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","230140.6","","","","1"
"2014","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","238305.6","","","","1"
"2015","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","243845.5","","","","1"
"2016","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","251036.3","","","","1"
"2017","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","260220.3","","","","1"
"2018","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","270106.4","","","","1"
"2019","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","277848.2","","","","1"
"2020","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","269189.9","","","","1"
"2021","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","288151.0","","","","1"
"2022","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","299250.4","","","","1"
"2002","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1738.2","","","","1"
"2003","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1722.9","","","","1"
"2004","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1807.4","","","","1"
"2005","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1847.8","","","","1"
"2006","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1933.7","","","","1"
"2007","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2032.2","","","","1"
"2008","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2228.6","","","","1"
"2009","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2367.4","","","","1"
"2010","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2470.3","","","","1"
"2011","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2591.0","","","","1"
"2012","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2694.1","","","","1"
"2013","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2734.7","","","","1"
"2014","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2752.5","","","","1"
"2015","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2543.4","","","","1"
"2016","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2726.9","","","","1"
"2017","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2781.0","","","","1"
"2018","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2857.8","","","","1"
"2019","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2825.4","","","","1"
"2020","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","2875.0","","","","1"
"2021","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","3117.9","","","","1"
"2022","Yukon","2016A000260","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","3297.6","","","","1"
"2002","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4266.6","","","","1"
"2003","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4841.7","","","","1"
"2004","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4961.2","","","","1"
"2005","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4895.7","","","","1"
"2006","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4914.0","","","","1"
"2007","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","5344.8","","","","1"
"2008","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4832.9","","","","1"
"2009","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4329.8","","","","1"
"2010","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4448.6","","","","1"
"2011","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4039.3","","","","1"
"2012","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4016.6","","","","1"
"2013","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4127.6","","","","1"
"2014","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4323.5","","","","1"
"2015","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4367.7","","","","1"
"2016","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4319.4","","","","1"
"2017","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4476.6","","","","1"
"2018","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4541.0","","","","1"
"2019","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4347.0","","","","1"
"2020","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","3968.3","","","","1"
"2021","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4135.1","","","","1"
"2022","Northwest Territories","2016A000261","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467874","12.2.1","4253.7","","","","1"
"2002","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","1478.0","","","","1"
"2003","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","1478.8","","","","1"
"2004","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","1549.8","","","","1"
"2005","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","1539.5","","","","1"
"2006","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","1559.0","","","","1"
"2007","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","1690.2","","","","1"
"2008","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","1913.3","","","","1"
"2009","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","1788.7","","","","1"
"2010","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2121.0","","","","1"
"2011","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2243.8","","","","1"
"2012","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2299.6","","","","1"
"2013","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2531.8","","","","1"
"2014","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2500.1","","","","1"
"2015","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2490.0","","","","1"
"2016","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2623.6","","","","1"
"2017","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","2969.7","","","","1"
"2018","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3105.8","","","","1"
"2019","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3346.4","","","","1"
"2020","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3417.9","","","","1"
"2021","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3734.5","","","","1"
"2022","Nunavut","2016A000262","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62468179","13.2.1","3741.4","","","","1"


